Prompt Type,QID,Task Sentiment,IAS,Resp,date_generated
user_need_aware,QGEN1,,GEM,Un tornado è un uragano con un'aria molto veloce e un'enorme forza. È,2025-04-26
user_need_aware,QGEN2,,GEM,Un tornado è un uragano con un'aria molto veloce e un'enorme forza. È,2025-04-26
user_need_aware,QGEN3,,GEM,"La piramide egizia è un monumento incredibile! 

È una costruzione enorme e imponente",2025-04-26
user_need_aware,QGEN4,,GEM,"Le piramidi sono costruite con blocchi di pietra! 

C'è una pi",2025-04-26
user_need_aware,QGEN5,,GEM,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-04-26
user_need_aware,QGEN6,,GEM,Il tornado è un uragano molto veloce!  La sua velocità può arrivare fino a 30,2025-04-26
user_need_aware,QGEN7,,GEM,"La Piramide di Cheope si trova a **Giza, in Egitto**. 
",2025-04-26
user_need_aware,QGEN8,,GEM,"Un tornado ha una velocità incredibile!  Si muove molto velocemente, a volte più di",2025-04-26
user_need_aware,QGEN9,,GEM,"Un vulcano attivo antico è un vulcano che è stato attivo in passato, ma che continua a",2025-04-26
user_need_aware,QGEN10,,GEM,"Un tornado veloce! È un'immagine potente. 🌪️  

Immagina un vento così",2025-04-26
user_need_aware,QGEN11,,GEM,"Un vulcano attivo antico è un vulcano che è stato attivo in passato, ma che continua a",2025-04-26
user_need_aware,QGEN12,,GEM,"Monica è una bella ragazza. 
",2025-04-26
user_need_aware,QGEN13,,GEM,Un tornado nero? È un'idea fantastica! Immagina un tornado che è nero come la,2025-04-26
user_need_aware,QGEN14,,GEM,"Il tornado è un uragano di vento, un'onda di aria che si muove velocemente",2025-04-26
user_need_aware,QGEN15,,GEM,"Ecco alcuni animali che sono in pericolo di estinzione:

* **Elefante africano:**  ",2025-04-26
user_need_aware,QGEN16,,GEM,"I vulcani si formano quando il magma, una sorta di lava calda e viscosa, si",2025-04-26
user_need_aware,QGEN17,,GEM,I vulcani sono come dei giganti di pietra che si nascondono sotto la superficie della Terra,2025-04-26
user_need_aware,QGEN18,,GEM,"Il leopardo delle nevi è classificato come **Felis silvestris, una specie di leopardo",2025-04-26
user_need_aware,QGEN19,,GEM,"Ecco alcune cose che possiamo fare per aiutare le specie in estinzione:

**Proteggere la",2025-04-26
user_need_aware,QGEN20,,GEM,"Il vulcano più piccolo del mondo si trova in **California, Stati Uniti**. 🌋 

",2025-04-26
user_need_aware,QGEN21,,GEM,"Il vulcano più piccolo del mondo si trova in **Italia**, nel **territorio di Stromboli",2025-04-26
user_need_aware,QGEN22,,GEM,"Il vulcano più piccolo del mondo si trova in **California, Stati Uniti**. 🌋 

",2025-04-26
user_need_aware,QGEN23,,GEM,Il vulcano più antico attivo al mondo è il **Kilauea** in Hawaii.,2025-04-26
user_need_aware,QGEN24,,GEM,Il vulcano più antico attivo al mondo è il **Kilauea** in Hawaii.,2025-04-26
user_need_aware,QGEN25,,GEM,"È difficile dire quanti esemplari di ""Fantasma delle Montagne"" rimangono. 👻",2025-04-26
user_need_aware,QGEN26,,GEM,"Ecco altri nomi per il tornado:

* **Fendente:**  Un nome che evoca la",2025-04-26
user_need_aware,QGEN27,,GEM,Il tornado può raggiungere una velocità massima di **300 chilometri all'ora**! ,2025-04-26
user_need_aware,QGEN28,,GEM,"Immagina un cielo grigio e tempestoso. Il vento soffia forte, e le nuvole si",2025-04-26
user_need_aware,QGEN29,,GEM,Un tornado è un uragano molto forte con un'aria molto veloce e un vento che può essere,2025-04-26
user_need_aware,QGEN30,,GEM,"Un tornado nasce da un'enorme tempesta di pioggia e vento. 🌪️ 

",2025-04-26
user_need_aware,QGEN31,,GEM,"Ecco alcuni sinonimi per ""tornado"":

* **Fuoco di vento**
* **V",2025-04-26
user_need_aware,QGEN32,,GEM,"Immagina un cielo grigio e tempestoso, con nuvole nere e dense che si muovono",2025-04-26
user_need_aware,QGEN33,,GEM,Un tornado è un uragano di aria che si forma in un cielo tempestoso. È un fenomeno,2025-04-26
user_need_aware,QGEN34,,GEM,La piramide di Cheope è la più alta! È enorme e bellissima. 🏛️  ,2025-04-26
user_need_aware,QGEN35,,GEM,"Il mostro nero è un uragano! È un uragano molto forte, con vento e pioggia",2025-04-26
user_need_aware,QGEN36,,GEM,"Immagina un cielo grigio e tempestoso, con nuvole nere e dense che si muovono",2025-04-26
user_need_aware,QGEN37,,GEM,"Ecco tre animali in estinzione:

* **L'elefante africano:**  È un",2025-04-26
user_need_aware,QGEN38,,GEM,"Il leopardo delle nevi è un felino **maestoso** e **elegante**. 

",2025-04-26
user_need_aware,QGEN39,,GEM,"Ecco alcuni modi in cui possiamo aiutare le specie in estinzione:

**Proteggi la natura",2025-04-26
user_need_aware,QGEN40,,GEM,"È difficile dire quanti esemplari rimasti ci siano del fantasma delle montagne. 👻 

",2025-04-26
user_need_aware,QGEN41,,GEM,"Il leopardo delle nevi è classificato come **Panthera uncia**. 

È un fel",2025-04-26
user_need_aware,QGEN42,,GEM,"Ecco alcune cose che possiamo fare per aiutare le specie in estinzione:

**Proteggere la",2025-04-26
user_need_aware,QGEN43,,GEM,"Ecco alcuni modi in cui possiamo aiutare le specie in estinzione:

**Cosa possiamo fare:**",2025-04-26
user_need_aware,QGEN44,,GEM,"C'è un vecchio racconto che dice che nelle montagne, quando la luna è piena, si possono",2025-04-26
user_need_aware,QGEN45,,GEM,"Ecco tre animali a rischio di estinzione:

* **Elefante africano:**  Questi",2025-04-26
user_need_aware,QGEN46,,GEM,"Il leopardo delle nevi è un animale molto speciale! Ecco come si classificano:

* **",2025-04-26
