Analysis,Prompt Type,Task Sentiment,Text Sample,rank,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Lexical,General,Overall,Bing,Overall,15.95,14.79,69.26,5.85,13.39,2.34,18.65,7.16,5.17,8.44,38.98
Lexical,General,Overall,Bing,1,15.75,14.65,69.6,7.65,14.92,2.42,17.34,6.48,4.4,8.5,38.29
Lexical,General,Overall,Bing,2,16.25,14.68,69.06,4.64,14.04,3.0,18.14,7.24,5.37,7.74,39.83
Lexical,General,Overall,Bing,3,15.9,14.79,69.31,6.05,11.76,2.1,19.35,7.59,5.47,9.08,38.59
Lexical,General,Overall,Bing,4,15.79,14.85,69.36,5.43,13.6,1.97,19.35,7.04,5.52,8.81,38.28
Lexical,General,Overall,Bing,5,16.05,14.99,68.96,5.5,12.62,2.25,19.09,7.43,5.1,8.08,39.94
Lexical,EM,Overall,Bing,Overall,15.33,14.34,70.33,3.18,13.89,1.41,12.29,5.89,6.23,17.29,39.82
Lexical,EM,Overall,Bing,1,14.89,14.4,70.7,4.37,17.61,1.13,9.06,5.67,6.6,18.14,37.41
Lexical,EM,Overall,Bing,2,15.56,14.81,69.64,3.14,13.94,1.68,14.2,5.45,5.74,14.92,40.94
Lexical,EM,Overall,Bing,3,15.38,14.15,70.47,3.52,12.74,0.61,11.94,6.16,5.63,17.28,42.11
Lexical,EM,Overall,Bing,4,15.48,13.93,70.59,2.3,12.49,1.88,13.55,6.25,6.42,16.71,40.4
Lexical,EM,Overall,Bing,5,15.35,14.42,70.24,2.55,12.67,1.76,12.73,5.9,6.75,19.41,38.22
Lexical,EM,Bad,Bing,Overall,14.94,15.24,69.81,2.95,13.14,0.77,17.05,3.79,4.7,24.01,33.6
Lexical,EM,Good,Bing,Overall,15.76,13.35,70.89,3.42,14.72,2.13,7.05,8.2,7.92,9.88,46.67
Semantic,General,Overall,Bing,Overall,43.28,56.72,,2.29,,,35.06,37.87,24.78,,
Semantic,General,Overall,Bing,1,46.81,53.19,,1.01,,,34.03,36.07,28.89,,
Semantic,General,Overall,Bing,2,37.6,62.4,,3.47,,,35.94,35.43,25.16,,
Semantic,General,Overall,Bing,3,44.53,55.47,,1.84,,,35.02,39.65,23.48,,
Semantic,General,Overall,Bing,4,43.65,56.35,,1.94,,,35.61,41.74,20.71,,
Semantic,General,Overall,Bing,5,43.8,56.2,,3.17,,,34.71,36.45,25.66,,
Semantic,EM,Overall,Bing,Overall,36.84,63.16,,7.64,,,23.55,34.43,34.38,,
Semantic,EM,Overall,Bing,1,36.9,63.1,,10.93,,,15.27,32.28,41.52,,
Semantic,EM,Overall,Bing,2,33.13,66.87,,4.12,,,25.33,32.54,38.01,,
Semantic,EM,Overall,Bing,3,35.66,64.34,,6.9,,,31.6,29.09,32.41,,
Semantic,EM,Overall,Bing,4,37.41,62.59,,5.33,,,23.49,38.25,32.93,,
Semantic,EM,Overall,Bing,5,41.1,58.9,,10.89,,,22.04,40.02,27.05,,
Semantic,EM,Bad,Bing,Overall,1.7,98.3,,5.92,,,39.25,7.46,47.37,,
Semantic,EM,Good,Bing,Overall,75.59,24.41,,9.52,,,6.24,64.18,20.06,,
