QID,Query,Prompt Type,Task Sentiment
QGEN1,tornado,General,
QGEN2,tornado ,General,
QGEN3,piramide egizia ,General,
QGEN4,piramidi ,General,
QGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,
QGEN6,velocita tornado ,General,
QGEN7,dove si trova la piramide di Cheope?,General,
QGEN8,tornado velocita ,General,
QGEN9,vulcano attivo antico ,General,
QGEN10,tornado veloce,General,
QGEN11,vulcano attivo antico,General,
QGEN12,come si chiama Monica,General,
QGEN13,tornado mostro nero ,General,
QGEN14,tornado velocita mostro nero ,General,
QGEN15,animali a rischio di estinzione,General,
QGEN16,come si formano i vulcani?,General,
QGEN17,come si trovano i vulcani?,General,
QGEN18,come viene classificato il leopardo delle nevi?,General,
QGEN19,cosa possiamo fare per aiutare le specie in estinzione?,General,
QGEN20,in quale stato si trova il vulcano piÃ¹ piccolo ?,General,
QGEN21,in quale stato si trova il vulcano piÃ¹ piccolo del mondo?,General,
QGEN22,in quale stato si trova il vulcano piÃ¹ piccolo?,General,
QGEN23,qual Ã¨ il vulcano  attivo piÃ¹ antico,General,
QGEN24,qual Ã¨ il vulcano  attivo piÃ¹ antico ?,General,
QGEN25,quanti sono gli esemplari rimasti di fantasma delle montagne ?,General,
QGEN26, quali sono gli altri nomi del tornado,General,
QGEN27, velocitÃ  massima di un tornado,General,
QGEN28,creazione di un tornado,General,
QGEN29,effetti del tornado,General,
QGEN30,nascita di un tornado,General,
QGEN31,sinonimi di tornado,General,
QGEN32,sviluppo di un tornado,General,
QGEN33,sviluppo di un tornado e i suoi effetti,General,
QGEN34,la piramide egizia piÃ¹ alta,General,
QGEN35,mostro nero (uragano),General,
QGEN36,sviluppo del tornado,General,
QGEN37,3 animali in estinzione,General,
QGEN38,classificazione del leopardo delle nevi,General,
QGEN39,come possiamo aiutare le specie in estinzione,General,
QGEN40,quanti sono gli esemplari rimasti del fantasma delle montagne,General,
QGEN41,come viene classificato il leopardo delle nevi,General,
QGEN42,cosa possiamo fare per aiutare le specie in estinzione,General,
QGEN43,cosa possiamo fare per aiutare le specie in estinzione?quali sono i rischi e come sia possibile aiutare la specie in via di estinzioni,General,
QGEN44,fantasmi delle montagne,General,
QGEN45,trova tre animali a rischio di estinzione,General,
QGEN46,classificazione leopardo delle nevi,General,
QGEN47,come aiutare le specie in estinzione,General,
QGEN48,come aiutarele specie in estinzione,General,
QGEN49,esemplari rimasti del fantasma delle nevi,General,
QGEN50,esemplari rimasti di fantasma delle montagne,General,
QGEN51,pericoli per le specie animali,General,
QGEN52,fantasma delle montagne specie rimaste,General,
QGEN53,fantasma delle montagne wwf,General,
QGEN54,leopardo delle nevi,General,
QGEN55,tre  animali a rischio estinzione,General,
QGEN56,qual Ã¨ il vulcano attivo piÃ¹ antico del mondo?,General,
QGEN57,tipo di eruzione piÃ¹ dannoso  ,General,
QGEN58,in quale stato si trova il vulcano piÃ¹ piccolo ,General,
QGEN59,qual Ã¨ il vulcano piÃ¹ attivo piÃ¹ antico ,General,
QGEN60,quale tipologia di eruzione provoca piÃ¹ danni,General,
QGEN61,vulcani tipologia di eruzioni danni,General,
QGEN62,dove si trova il Vulcano Piu  piccolo ,General,
QGEN63,vulcano piÃ¹ antico attivo,General,
QGEN64,come si formano i vulcani,General,
QGEN65,un bambino sano quanto pasti fa al giorno,General,
QGEN66,quali sono i punti cardinali,General,
QGEN67,quali sono le cose piÃ¹ importanti della moto,General,
QGEN68,quando inizia il periodo paleolitico e neolitico,General,
QGEN69,zigurat,General,
QGEN70,trova 3 animali a rischio di estinzione,General,
QGEN71,quali sono i punti cardinali?,General,
QGEN72,quali sono gli animali in estinzione?,General,
QGEN73,dove si trova la piramide di cheope,General,
QGEN74,immagine piramide egizia,General,
QGEN75,gli animali in estinzione,General,
QGEN76,i vulcani,General,
QGEN77,i vulcani piÃ¹ grandi del mondo,General,
QGEN78,la piramide piÃ¹ alta,General,
QGEN79,punti cardinali,General,
QGEN80,qual e il vulcano piÃ¹ grande,General,
QGEN81,qual Ã¨ la piramide egizia piÃ¹ alta?,General,
QGEN82,come scaricare musica da youtube,General,
QGEN83,chi e il padre di micerino,General,
QGEN84,come venivano costruite le piramidi egizie,General,
QGEN85,qual e la piramide egizia piu alta,General,
QGEN86,quanto e alta la tomba del padre di micerino,General,
QGEN87,quanto e alta la tomba di cheope,General,
QGEN88, quali sono le regole principali della pallavolo,General,
QGEN89,la regione con piu` squadre di pallavolo,General,
QGEN90,qual e la piramide egizia piu` alta?,General,
QGEN91,quanti giocatri ci sono in ogni squadra di ginnastica,General,
QGEN92,quanti giocatri ci sono in ogni squadra di pallavolo,General,
QGEN93,regioni italÃ©8iane  con piu` squadre di pallavolo,General,
QGEN94, quanti leopardi delle nevi sono rimasti,General,
QGEN95,cosa possiamo fare per salvare gli animali in estinzione,General,
QGEN96,cosa sono fantasma delle montagne,General,
QGEN97,classificazione del Leopardo delle nevi,General,
QGEN98,classificazione del panthera uncia,General,
QGEN99,classificazione del panthera uncia in italiano,General,
QGEN100,come possiamo aiutare le specie in pericolo,General,
QGEN101,come si puo aiutare le specie in pericolo,General,
QGEN102,fantasma della montagna,General,
QGEN103,tre animali in via di estinzione,General,
QGEN104,classificazione delleopardo delle nevi,General,
QGEN105,cosa fa l IUCN per aiutare gli animali in via di estinzione,General,
QGEN106,tre animali a rischio estinzione,General,
QGEN107,wwf in via di estinzione,General,
QGEN108,FANTASMA DELLE MONTAGNE ,General,
QGEN109,quanti esemplari di leopardo delle nevi sono rimasti,General,
QGEN110,quanti specie di FANTASMA DELLE MONTAGNE sono rimasti,General,
QGEN111,qual e la regione con piÃ¹ squadre di calcio d italia,General,
QGEN112,che velocitÃ  viaggia un tornado,General,
QGEN113,cosa e il tornado mostro nero,General,
QGEN114,padre di Micerino,General,
QGEN115,quanto Ã¨ alta la tomba di Chefren,General,
