Prompt Type,QID,Task Sentiment,IAS,Resp,date_generated
user_group_aware,QGEN1,,GEM,Il tornado è un uragano molto forte che si forma in cielo. È un vento molto veloce e,2025-04-26
user_group_aware,QGEN2,,GEM,Il tornado è un uragano molto forte che si forma in cielo. È un vento molto veloce e,2025-04-26
user_group_aware,QGEN3,,GEM,"La piramide egizia è un monumento incredibile! 

**Cosa la rende così speciale?",2025-04-26
user_group_aware,QGEN4,,GEM,"Le piramidi sono costruite con blocchi di pietra! 

**Ecco alcuni fatti interessanti",2025-04-26
user_group_aware,QGEN5,,GEM,La piramide più alta dell'antico Egitto è la **Piramide di Khufu** a,2025-04-26
user_group_aware,QGEN6,,GEM,"Il tornado può raggiungere una velocità incredibile, fino a **300 chilometri all'ora",2025-04-26
user_group_aware,QGEN7,,GEM,"La Piramide di Cheope si trova a **Giza, in Egitto**. 
",2025-04-26
user_group_aware,QGEN8,,GEM,"Un tornado ha una velocità incredibile!  Si muove molto velocemente, a volte più di",2025-04-26
user_group_aware,QGEN9,,GEM,"Un vulcano attivo antico è un vulcano che è stato attivo in passato, ma che continua a",2025-04-26
user_group_aware,QGEN10,,GEM,"Un tornado veloce! È un'immagine fantastica! 🌪️

Immagina un vento così",2025-04-26
user_group_aware,QGEN11,,GEM,"Un vulcano attivo antico è un vulcano che è stato attivo in passato, ma che continua a",2025-04-26
user_group_aware,QGEN12,,GEM,"Monica è una bella ragazza. 
",2025-04-26
user_group_aware,QGEN13,,GEM,"Il tornado è un uragano di vento, ma il mostro nero è un'idea fantastica",2025-04-26
user_group_aware,QGEN14,,GEM,"Il mostro nero è un'entità fantastica, veloce come il vento! 🌪️",2025-04-26
user_group_aware,QGEN15,,GEM,"Ecco alcuni animali che sono in pericolo di estinzione:

* **Elefante africano:**  ",2025-04-26
user_group_aware,QGEN16,,GEM,"I vulcani si formano quando il magma, una sorta di lava calda e viscosa, si",2025-04-26
user_group_aware,QGEN17,,GEM,"I vulcani si trovano dove la Terra è divisa in due parti, come un grande puzzle. ",2025-04-26
user_group_aware,QGEN18,,GEM,"Il leopardo delle nevi è classificato come **Felis silvestris, subspecies**. 

",2025-04-26
user_group_aware,QGEN19,,GEM,"Ecco alcune cose che possiamo fare per aiutare le specie in estinzione:

**1. Prote",2025-04-26
user_group_aware,QGEN20,,GEM,"Il vulcano più piccolo del mondo si trova in **Italia**, nel **territorio di Sicilia**.",2025-04-26
user_group_aware,QGEN21,,GEM,"Il vulcano più piccolo del mondo si trova in **Italia**, nel **territorio di Stromboli",2025-04-26
user_group_aware,QGEN22,,GEM,"Il vulcano più piccolo del mondo si trova in **Italia**, nel **territorio di Sicilia**.",2025-04-26
user_group_aware,QGEN23,,GEM,Il vulcano più antico attivo al mondo è il **Kilauea** in Hawaii.,2025-04-26
user_group_aware,QGEN24,,GEM,Il vulcano più antico attivo al mondo è il **Kilauea** in Hawaii.,2025-04-26
user_group_aware,QGEN25,,GEM,"È difficile dire quanti esemplari di Fantasma delle Montagne rimangono. 👻 

",2025-04-26
user_group_aware,QGEN26,,GEM,"Ecco altri nomi per il tornado:

* **Fendente:**  Un nome che evoca la",2025-04-26
user_group_aware,QGEN27,,GEM,Il tornado può raggiungere una velocità massima di **300 chilometri all'ora**! ,2025-04-26
user_group_aware,QGEN28,,GEM,Immagina un cielo grigio e tempestoso. Il vento soffia forte e si muove in modo,2025-04-26
user_group_aware,QGEN29,,GEM,Un tornado è un uragano molto forte con un'aria molto veloce e un vento che può essere,2025-04-26
user_group_aware,QGEN30,,GEM,"Un tornado nasce da un'enorme tempesta di pioggia e vento. 🌪️

Imma",2025-04-26
user_group_aware,QGEN31,,GEM,"Ecco alcuni sinonimi per ""tornado"":

* **Fuoco di vento**
* **Temp",2025-04-26
user_group_aware,QGEN32,,GEM,Un tornado è un uragano molto potente con un'aria molto veloce e una forma di spirale,2025-04-26
user_group_aware,QGEN33,,GEM,Un tornado è un uragano molto potente con un'aria che si muove in modo veloce e,2025-04-26
user_group_aware,QGEN34,,GEM,"La piramide di Cheope è la più alta! È enorme e bellissima. 
",2025-04-26
user_group_aware,QGEN35,,GEM,"Il mostro nero è un uragano! È un uragano molto forte, con vento e pioggia",2025-04-26
user_group_aware,QGEN36,,GEM,Un tornado è un uragano molto potente con un'aria molto veloce e una forma di spirale,2025-04-26
user_group_aware,QGEN37,,GEM,"Ecco tre animali in estinzione:

* **L'elefante africano:**  È un",2025-04-26
user_group_aware,QGEN38,,GEM,"Il leopardo delle nevi è un animale molto speciale! Ecco come si classificano:

* **",2025-04-26
user_group_aware,QGEN39,,GEM,"Ecco alcuni modi in cui possiamo aiutare le specie in estinzione:

**1. Proteggi",2025-04-26
